Fecha_2020,Valor_2020,Fecha_2021,Valor_2021,Fecha_2022,Valor_2022
2020-01-02,27.071527777777778,2021-01-01,26.583333333333332,2022-01-01,32.8972027972028
2020-01-03,27.30902777777778,2021-01-02,27.811111111111114,2022-01-02,30.47253521126761
2020-01-04,27.775694444444444,2021-01-03,29.22847222222222,2022-01-03,26.442962962962966
2020-01-05,28.806250000000002,2021-01-04,28.429166666666667,2022-01-04,27.980555555555554
2020-01-06,28.824305555555554,2021-01-05,25.407638888888886,2022-01-05,29.334999999999997
2020-01-07,26.500694444444445,2021-01-06,26.654166666666665,2022-01-06,28.262237762237763
2020-01-08,29.229861111111113,2021-01-07,25.554166666666667,2022-01-07,29.24306569343066
2020-01-09,30.193055555555556,2021-01-08,27.300694444444446,2022-01-08,29.278518518518517
2020-01-10,30.821527777777778,2021-01-09,26.603472222222223,2022-01-09,25.346478873239434
2020-01-11,29.261111111111113,2021-01-10,27.900694444444444,2022-01-10,28.729850746268657
2020-01-12,28.730555555555554,2021-01-11,30.418750000000003,2022-01-11,29.00211267605634
2020-01-13,27.136805555555554,2021-01-12,27.383333333333333,2022-01-12,30.54233576642336
2020-01-14,27.66176470588235,2021-01-13,26.69236111111111,2022-01-13,30.63381294964029
2020-01-16,29.59722222222222,2021-01-14,29.88263888888889,2022-01-14,30.517692307692307
2020-01-17,27.56597222222222,2021-01-15,30.184722222222224,2022-01-15,31.78881118881119
2020-01-18,29.460416666666667,2021-01-16,29.582638888888887,2022-01-16,34.1985401459854
2020-01-19,31.33888888888889,2021-01-17,25.20138888888889,2022-01-17,34.46312056737589
2020-01-20,31.82986111111111,2021-01-18,24.31527777777778,2022-01-18,34.234042553191486
2020-01-21,29.21944444444445,2021-01-19,24.92361111111111,2022-01-19,31.913725490196075
2020-01-22,26.347916666666666,2021-01-20,27.001388888888886,2022-01-20,31.43676470588235
2020-01-23,23.944444444444443,2021-01-21,28.202083333333334,2022-01-21,32.44861111111111
2020-01-24,26.586805555555557,2021-01-22,26.819444444444443,2022-01-22,33.525757575757574
2020-01-25,28.280555555555555,2021-01-23,26.665277777777778,2022-01-23,33.826229508196725
2020-01-26,29.077777777777776,2021-01-24,25.847916666666666,2022-01-28,30.518181818181816
2020-01-27,26.603571428571428,2021-01-25,26.460416666666667,2022-01-29,27.422916666666666
2020-01-28,28.300694444444446,2021-01-26,27.547222222222224,2022-01-30,28.70555555555556
2020-01-29,30.926056338028168,2021-01-27,25.970138888888886,2022-01-31,30.77361111111111
2020-01-30,24.889583333333334,2021-01-28,26.334722222222222,2022-02-01,31.181944444444444
2020-01-31,26.896527777777777,2021-01-29,27.716666666666665,2022-02-02,32.02013888888889
2020-02-01,28.481250000000003,2021-01-30,29.07638888888889,2022-02-03,30.034027777777776
2020-02-02,29.848251748251748,2021-01-31,25.9375,2022-02-04,26.691666666666666
2020-02-03,27.965811965811966,2021-02-01,24.979166666666668,2022-02-05,25.605555555555554
2020-02-04,29.66597222222222,2021-02-02,24.713194444444444,2022-02-06,26.490972222222222
2020-02-05,30.09305555555555,2021-02-03,27.288194444444443,2022-02-07,24.32638888888889
2020-02-06,28.977777777777778,2021-02-04,25.03125,2022-02-08,24.961805555555557
2020-02-07,29.07222222222222,2021-02-05,24.303472222222222,2022-02-09,26.888194444444444
2020-02-08,29.352777777777778,2021-02-06,23.825694444444444,2022-02-10,28.765277777777776
2020-02-09,29.34722222222222,2021-02-07,25.095833333333335,2022-02-11,30.80486111111111
2020-02-10,28.45069444444444,2021-02-08,26.592361111111114,2022-02-12,28.157638888888886
2020-02-11,27.104166666666668,2021-02-09,26.095833333333335,2022-02-13,24.954166666666666
2020-02-12,28.382638888888888,2021-02-10,26.363194444444446,2022-02-14,27.464583333333334
2020-02-13,29.71111111111111,2021-02-11,24.06527777777778,2022-02-15,28.997222222222224
2020-02-14,29.706944444444446,2021-02-12,26.002083333333335,2022-02-16,30.00416666666667
2020-02-15,29.36527777777778,2021-02-13,26.9375,2022-02-17,30.133333333333333
2020-02-16,28.82569444444444,2021-02-14,26.928472222222222,2022-02-18,29.53611111111111
2020-02-17,30.57986111111111,2021-02-15,28.331944444444446,2022-02-19,30.061111111111114
2020-02-18,29.831944444444446,2021-02-16,27.851388888888888,2022-02-20,28.00277777777778
2020-02-19,27.277083333333334,2021-02-17,26.539583333333333,2022-02-21,26.86875
2020-02-20,28.59375,2021-02-18,25.99513888888889,2022-02-22,27.992361111111112
2020-02-21,24.938194444444445,2021-02-19,26.007638888888888,2022-02-23,30.360416666666666
2020-02-22,21.313194444444445,2021-02-20,27.250694444444445,2022-02-24,32.052083333333336
2020-02-23,22.146527777777777,2021-02-21,28.727083333333333,2022-02-25,31.800694444444446
2020-02-24,25.481250000000003,2021-02-22,30.036805555555556,2022-02-26,31.06736111111111
2020-02-25,28.570833333333333,2021-02-23,31.54513888888889,2022-02-27,34.25138888888889
2020-02-26,25.275,2021-02-24,28.533333333333335,2022-02-28,32.81666666666667
2020-02-27,23.686111111111114,2021-02-25,27.277083333333334,2022-03-01,27.263194444444444
