Fecha,Valor
2022-01-01,32.8972027972028
2022-01-02,30.47253521126761
2022-01-03,26.442962962962966
2022-01-04,27.980555555555554
2022-01-05,29.334999999999997
2022-01-06,28.262237762237763
2022-01-07,29.24306569343066
2022-01-08,29.278518518518517
2022-01-09,25.346478873239434
2022-01-10,28.729850746268657
2022-01-11,29.00211267605634
2022-01-12,30.54233576642336
2022-01-13,30.63381294964029
2022-01-14,30.517692307692307
2022-01-15,31.78881118881119
2022-01-16,34.1985401459854
2022-01-17,34.46312056737589
2022-01-18,34.234042553191486
2022-01-19,31.913725490196075
2022-01-20,31.43676470588235
2022-01-21,32.44861111111111
2022-01-22,33.525757575757574
2022-01-23,33.826229508196725
2022-01-28,30.518181818181816
2022-01-29,27.422916666666666
2022-01-30,28.70555555555556
2022-01-31,30.77361111111111
2022-02-01,31.181944444444444
2022-02-02,32.02013888888889
2022-02-03,30.034027777777776
2022-02-04,26.691666666666666
2022-02-05,25.605555555555554
2022-02-06,26.490972222222222
2022-02-07,24.32638888888889
2022-02-08,24.961805555555557
2022-02-09,26.888194444444444
2022-02-10,28.765277777777776
2022-02-11,30.80486111111111
2022-02-12,28.157638888888886
2022-02-13,24.954166666666666
2022-02-14,27.464583333333334
2022-02-15,28.997222222222224
2022-02-16,30.00416666666667
2022-02-17,30.133333333333333
2022-02-18,29.53611111111111
2022-02-19,30.061111111111114
2022-02-20,28.00277777777778
2022-02-21,26.86875
2022-02-22,27.992361111111112
2022-02-23,30.360416666666666
2022-02-24,32.052083333333336
2022-02-25,31.800694444444446
2022-02-26,31.06736111111111
2022-02-27,34.25138888888889
2022-02-28,32.81666666666667
2022-03-01,27.263194444444444
2022-03-02,28.26388888888889
2022-03-03,27.9625
2022-03-04,29.877777777777776
2022-03-05,31.272916666666667
2022-03-06,31.21527777777778
2022-03-07,31.99930555555555
2022-03-08,28.493750000000002
2022-03-09,29.953472222222224
2022-03-10,28.91944444444444
2022-03-11,23.645833333333332
2022-03-12,23.794444444444444
2022-03-13,24.368055555555557
2022-03-14,23.14236111111111
2022-03-15,23.487499999999997
2022-03-16,24.946527777777778
2022-03-17,26.956249999999997
2022-03-18,28.92361111111111
2022-03-19,23.525694444444444
2022-03-20,22.765277777777776
2022-03-21,26.813888888888886
2022-03-22,26.835416666666667
2022-03-23,23.10486111111111
2022-03-24,25.782638888888886
2022-03-25,21.135416666666668
2022-03-26,20.95763888888889
2022-03-27,23.288194444444443
2022-03-28,24.864583333333332
2022-03-29,28.631944444444443
2022-03-30,22.9125
2022-03-31,17.00347222222222
2022-04-01,17.950694444444444
2022-04-02,21.005555555555556
2022-04-03,26.131944444444443
2022-04-04,24.593055555555555
2022-04-05,23.036805555555556
2022-04-06,25.561805555555555
2022-04-07,24.352777777777778
2022-04-08,22.884027777777778
2022-04-09,23.977083333333333
2022-04-10,27.228472222222223
2022-04-11,25.279166666666665
2022-04-12,22.325000000000003
2022-04-13,23.725694444444443
2022-04-14,20.21597222222222
2022-04-15,17.677777777777777
2022-04-16,18.61388888888889
2022-04-17,21.124305555555555
2022-04-18,21.563888888888886
2022-04-19,22.595138888888886
2022-04-20,24.316666666666666
2022-04-21,22.806944444444444
2022-04-22,23.76388888888889
2022-04-23,22.881944444444443
2022-04-24,25.90138888888889
2022-04-25,28.699305555555554
2022-04-26,30.037499999999998
2022-04-27,30.07642857142857
2022-04-28,28.375694444444445
2022-04-29,21.234027777777776
2022-04-30,21.9125
2022-05-01,22.865277777777777
2022-05-02,21.461805555555557
2022-05-03,17.566666666666666
2022-05-04,17.297916666666666
2022-05-05,18.36111111111111
2022-05-06,19.81527777777778
2022-05-07,20.165277777777778
2022-05-08,19.405555555555555
2022-05-09,19.78611111111111
2022-05-10,19.286805555555556
2022-05-11,18.09722222222222
2022-05-12,17.179861111111112
2022-05-13,18.85763888888889
2022-05-14,19.865972222222222
2022-05-15,18.797222222222224
2022-05-16,15.477083333333333
2022-05-17,13.45486111111111
2022-05-18,12.990972222222222
2022-05-19,14.25486111111111
2022-05-20,13.2375
2022-05-21,16.105555555555554
2022-05-22,16.68125
2022-05-23,18.810416666666665
2022-05-24,23.220833333333335
2022-05-25,24.669444444444444
2022-05-26,22.831249999999997
2022-05-27,20.450694444444444
2022-05-28,21.799305555555556
2022-05-29,20.374305555555555
2022-05-30,16.725
2022-05-31,12.109027777777778
2022-06-01,12.0625
2022-06-02,13.058333333333334
2022-06-03,11.605555555555556
2022-06-04,16.80972222222222
2022-06-05,23.22152777777778
2022-06-06,21.952777777777776
2022-06-07,18.074305555555554
2022-06-08,17.877083333333335
2022-06-09,17.119444444444444
2022-06-10,15.859722222222224
2022-06-11,10.740579710144928
2022-06-12,10.189583333333333
2022-06-13,12.099305555555555
2022-06-14,16.029166666666665
2022-06-15,19.420833333333334
2022-06-16,20.938888888888886
2022-06-17,20.02013888888889
2022-06-18,13.18888888888889
2022-06-19,13.42013888888889
2022-06-20,18.929861111111112
2022-06-21,24.37847222222222
2022-06-22,18.875694444444445
2022-06-23,14.768852459016394
2022-06-24,15.691666666666666
2022-06-25,16.345138888888886
2022-06-26,16.464583333333334
2022-06-27,20.14513888888889
2022-06-28,19.902083333333334
2022-06-29,15.29861111111111
2022-06-30,15.960416666666667
2022-07-01,21.458333333333332
2022-07-02,24.25486111111111
2022-07-03,21.77638888888889
2022-07-04,26.416666666666668
2022-07-05,25.635416666666668
2022-07-06,24.424305555555556
2022-07-07,25.093055555555555
2022-07-08,24.3375
2022-07-09,26.218055555555555
2022-07-10,26.575000000000003
2022-07-11,24.873611111111114
2022-07-12,15.827777777777776
2022-07-13,14.944444444444445
2022-07-14,24.09652777777778
2022-07-15,26.620833333333334
2022-07-16,17.158333333333335
2022-07-17,12.566666666666666
2022-07-18,13.994444444444445
2022-07-19,18.137500000000003
2022-07-20,23.71875
2022-07-21,25.55625
2022-07-22,25.988194444444446
2022-07-23,26.615972222222222
2022-07-24,27.016666666666666
2022-07-25,27.711111111111112
2022-07-26,26.920833333333334
2022-07-27,26.893749999999997
2022-07-28,23.968055555555555
2022-07-29,15.613194444444446
2022-07-30,14.861805555555556
2022-07-31,18.456944444444446
2022-08-01,21.379166666666666
2022-08-02,26.610416666666666
2022-08-03,27.813888888888886
2022-08-04,22.56736111111111
2022-08-05,16.599305555555556
2022-08-06,15.054166666666667
2022-08-07,16.262500000000003
