,Fecha_dir,Valor_direccion,fecha_vel,Valor_veloc
0,2022-01-01,112.68531468531468,2022-01-01,7.3426573426573425
1,2022-01-02,121.73426573426572,2022-01-02,11.153846153846152
2,2022-01-03,128.47826086956522,2022-01-03,11.391304347826088
3,2022-01-04,169.875,2022-01-04,6.125
4,2022-01-05,135.7605633802817,2022-01-05,13.352112676056338
5,2022-01-06,142.07692307692307,2022-01-06,13.111888111888112
6,2022-01-07,146.39285714285714,2022-01-07,10.007142857142858
7,2022-01-08,138.78571428571428,2022-01-08,9.664285714285716
8,2022-01-09,107.95070422535213,2022-01-09,9.408450704225352
9,2022-01-10,137.38129496402877,2022-01-10,6.39568345323741
10,2022-01-11,185.44755244755245,2022-01-11,5.811188811188811
11,2022-01-12,155.04255319148936,2022-01-12,5.99290780141844
12,2022-01-13,97.6546762589928,2022-01-13,7.345323741007194
13,2022-01-14,88.95035460992908,2022-01-14,12.5177304964539
14,2022-01-15,117.8881118881119,2022-01-15,10.13986013986014
15,2022-01-16,197.63636363636363,2022-01-16,13.020979020979022
16,2022-01-17,149.69014084507043,2022-01-17,11.246478873239436
17,2022-01-18,175.6993006993007,2022-01-18,10.93006993006993
18,2022-01-19,143.36274509803923,2022-01-19,10.196078431372548
19,2022-01-20,140.80985915492957,2022-01-20,7.26056338028169
20,2022-01-21,134.17361111111111,2022-01-21,8.083333333333334
21,2022-01-22,168.97058823529412,2022-01-22,9.882352941176473
22,2022-01-23,197.8846153846154,2022-01-23,9.084615384615384
23,2022-01-28,165.45454545454547,2022-01-28,22.072727272727278
24,2022-01-29,140.31944444444446,2022-01-29,12.25347222222222
25,2022-01-30,161.04861111111111,2022-01-30,5.634722222222222
26,2022-01-31,134.22916666666666,2022-01-31,6.495138888888889
27,2022-02-01,120.96527777777776,2022-02-01,7.315972222222222
28,2022-02-02,115.49305555555556,2022-02-02,6.424305555555556
29,2022-02-03,102.02083333333331,2022-02-03,11.009027777777778
30,2022-02-04,184.26388888888889,2022-02-04,7.722222222222222
31,2022-02-05,165.59722222222223,2022-02-05,6.024305555555555
32,2022-02-06,161.77083333333334,2022-02-06,17.001388888888886
33,2022-02-07,137.6875,2022-02-07,11.551388888888887
34,2022-02-08,157.07638888888889,2022-02-08,6.397222222222222
35,2022-02-09,157.97222222222223,2022-02-09,5.232638888888889
36,2022-02-10,122.70833333333331,2022-02-10,5.231944444444444
37,2022-02-11,104.5,2022-02-11,7.304166666666666
38,2022-02-12,174.31944444444446,2022-02-12,15.18263888888889
39,2022-02-13,185.93055555555557,2022-02-13,16.97986111111111
40,2022-02-14,172.15277777777777,2022-02-14,7.9854166666666675
41,2022-02-15,166.74305555555554,2022-02-15,7.022222222222222
42,2022-02-16,172.61111111111111,2022-02-16,6.013194444444444
43,2022-02-17,156.4375,2022-02-17,9.197222222222225
44,2022-02-18,157.8125,2022-02-18,5.675694444444444
45,2022-02-19,143.74305555555554,2022-02-19,4.490972222222222
46,2022-02-20,214.39583333333331,2022-02-20,9.240277777777775
47,2022-02-21,141.99305555555554,2022-02-21,10.685416666666669
48,2022-02-22,167.22916666666666,2022-02-22,6.737500000000001
49,2022-02-23,134.02777777777777,2022-02-23,6.665972222222222
50,2022-02-24,170.99305555555554,2022-02-24,7.094444444444445
51,2022-02-25,166.66666666666666,2022-02-25,11.130555555555556
52,2022-02-26,117.94444444444444,2022-02-26,7.709027777777777
53,2022-02-27,141.60416666666666,2022-02-27,9.490972222222222
54,2022-02-28,176.77083333333334,2022-02-28,14.947916666666666
55,2022-03-01,144.20138888888889,2022-03-01,16.800694444444446
56,2022-03-02,164.79166666666666,2022-03-02,8.18611111111111
57,2022-03-03,146.25694444444446,2022-03-03,5.779166666666667
58,2022-03-04,120.75,2022-03-04,7.0569444444444445
59,2022-03-05,107.25694444444444,2022-03-05,7.680555555555555
60,2022-03-06,134.34722222222223,2022-03-06,7.135416666666667
61,2022-03-07,211.63194444444449,2022-03-07,8.82986111111111
62,2022-03-08,159.11805555555554,2022-03-08,15.149305555555555
63,2022-03-09,150.02777777777777,2022-03-09,7.15625
64,2022-03-10,187.69444444444449,2022-03-10,10.88125
65,2022-03-11,148.88888888888889,2022-03-11,12.702083333333333
66,2022-03-12,144.86805555555554,2022-03-12,11.272222222222222
67,2022-03-13,145.31944444444446,2022-03-13,10.390277777777778
68,2022-03-14,136.05555555555554,2022-03-14,11.14236111111111
69,2022-03-15,131.04166666666666,2022-03-15,7.790972222222223
70,2022-03-16,160.41666666666666,2022-03-16,3.675
71,2022-03-17,116.76388888888889,2022-03-17,4.711805555555555
72,2022-03-18,185.375,2022-03-18,8.246527777777779
73,2022-03-19,153.79166666666666,2022-03-19,17.227777777777778
74,2022-03-20,136.71527777777777,2022-03-20,8.639583333333333
75,2022-03-21,91.88888888888889,2022-03-21,9.54513888888889
76,2022-03-22,89.86111111111111,2022-03-22,10.79861111111111
77,2022-03-23,107.1875,2022-03-23,15.8
78,2022-03-24,192.61805555555557,2022-03-24,14.15
79,2022-03-25,163.70833333333334,2022-03-25,15.332638888888887
80,2022-03-26,130.8125,2022-03-26,4.690277777777777
81,2022-03-27,106.47222222222224,2022-03-27,4.245138888888889
82,2022-03-28,105.56944444444444,2022-03-28,5.4006944444444445
83,2022-03-29,121.0625,2022-03-29,6.475694444444445
84,2022-03-30,162.02083333333334,2022-03-30,20.84097222222222
85,2022-03-31,160.58333333333334,2022-03-31,26.373611111111117
86,2022-04-01,142.79166666666666,2022-04-01,12.484027777777778
87,2022-04-02,91.03472222222224,2022-04-02,6.151388888888889
