fecha_vel,Valor_veloc
2022-01-01,7.3426573426573425
2022-01-02,11.153846153846153
2022-01-03,11.391304347826088
2022-01-04,6.125
2022-01-05,13.352112676056338
2022-01-06,13.111888111888112
2022-01-07,10.007142857142858
2022-01-08,9.664285714285715
2022-01-09,9.408450704225352
2022-01-10,6.39568345323741
2022-01-11,5.811188811188811
2022-01-12,5.99290780141844
2022-01-13,7.345323741007194
2022-01-14,12.5177304964539
2022-01-15,10.13986013986014
2022-01-16,13.020979020979022
2022-01-17,11.246478873239436
2022-01-18,10.93006993006993
2022-01-19,10.196078431372548
2022-01-20,7.26056338028169
2022-01-21,8.083333333333334
2022-01-22,9.882352941176471
2022-01-23,9.084615384615384
2022-01-28,22.072727272727274
2022-01-29,12.253472222222221
2022-01-30,5.634722222222222
2022-01-31,6.495138888888889
2022-02-01,7.315972222222222
2022-02-02,6.424305555555556
2022-02-03,11.009027777777778
2022-02-04,7.722222222222222
2022-02-05,6.024305555555555
2022-02-06,17.001388888888886
2022-02-07,11.551388888888889
2022-02-08,6.397222222222222
2022-02-09,5.232638888888889
2022-02-10,5.231944444444444
2022-02-11,7.304166666666666
2022-02-12,15.18263888888889
2022-02-13,16.97986111111111
2022-02-14,7.9854166666666675
2022-02-15,7.022222222222222
2022-02-16,6.013194444444444
2022-02-17,9.197222222222223
2022-02-18,5.675694444444444
2022-02-19,4.490972222222222
2022-02-20,9.240277777777777
2022-02-21,10.685416666666667
2022-02-22,6.737500000000001
2022-02-23,6.665972222222222
2022-02-24,7.094444444444445
2022-02-25,11.130555555555555
2022-02-26,7.709027777777777
2022-02-27,9.490972222222222
2022-02-28,14.947916666666666
2022-03-01,16.800694444444446
2022-03-02,8.18611111111111
2022-03-03,5.779166666666667
2022-03-04,7.0569444444444445
2022-03-05,7.680555555555555
2022-03-06,7.135416666666667
2022-03-07,8.82986111111111
2022-03-08,15.149305555555555
2022-03-09,7.15625
2022-03-10,10.881250000000001
2022-03-11,12.702083333333333
2022-03-12,11.272222222222222
2022-03-13,10.390277777777778
2022-03-14,11.14236111111111
2022-03-15,7.790972222222223
2022-03-16,3.6750000000000003
2022-03-17,4.711805555555555
2022-03-18,8.246527777777779
2022-03-19,17.227777777777778
2022-03-20,8.639583333333333
2022-03-21,9.54513888888889
2022-03-22,10.79861111111111
2022-03-23,15.799999999999999
2022-03-24,14.149999999999999
2022-03-25,15.332638888888889
2022-03-26,4.690277777777777
2022-03-27,4.245138888888889
2022-03-28,5.4006944444444445
2022-03-29,6.475694444444445
2022-03-30,20.84097222222222
2022-03-31,26.373611111111114
2022-04-01,12.484027777777778
2022-04-02,6.151388888888889
2022-04-03,6.065972222222222
2022-04-04,8.886111111111111
2022-04-05,9.931249999999999
2022-04-06,7.513194444444445
2022-04-07,16.429861111111112
2022-04-08,9.006944444444445
2022-04-09,5.081944444444444
2022-04-10,8.15763888888889
2022-04-11,15.632638888888888
2022-04-12,16.168055555555554
2022-04-13,16.379166666666666
2022-04-14,21.657638888888886
2022-04-15,8.14375
2022-04-16,7.028472222222223
2022-04-17,5.785416666666666
2022-04-18,4.770833333333333
2022-04-19,5.072916666666667
2022-04-20,7.727083333333334
2022-04-21,11.259722222222223
2022-04-22,8.921527777777778
2022-04-23,10.338888888888889
2022-04-24,11.455555555555556
2022-04-25,12.702083333333333
2022-04-26,11.108333333333333
2022-04-27,10.979285714285714
2022-04-28,12.208333333333334
2022-04-29,16.54236111111111
2022-04-30,7.669444444444445
2022-05-01,10.225694444444445
2022-05-02,11.565972222222221
2022-05-03,24.36111111111111
2022-05-04,19.366666666666667
2022-05-05,5.452083333333333
2022-05-06,4.184722222222223
2022-05-07,5.322916666666667
2022-05-08,5.1506944444444445
2022-05-09,8.89236111111111
2022-05-10,8.466666666666667
2022-05-11,6.618055555555555
2022-05-12,5.919444444444444
2022-05-13,4.079861111111111
2022-05-14,10.541666666666666
2022-05-15,12.613888888888889
2022-05-16,19.711111111111112
2022-05-17,16.914583333333333
2022-05-18,16.686111111111114
2022-05-19,6.375694444444445
2022-05-20,3.904861111111111
2022-05-21,4.949305555555556
2022-05-22,4.391666666666667
2022-05-23,4.510416666666667
2022-05-24,10.343055555555557
2022-05-25,10.026388888888889
2022-05-26,9.888194444444444
2022-05-27,5.413194444444445
2022-05-28,5.036111111111111
2022-05-29,10.635416666666666
2022-05-30,22.015277777777776
2022-05-31,13.934722222222222
2022-06-01,7.102777777777778
2022-06-02,13.471527777777778
2022-06-03,6.117361111111111
2022-06-04,5.877083333333333
2022-06-05,7.140277777777778
2022-06-06,12.31388888888889
2022-06-07,10.985416666666667
2022-06-08,10.669444444444444
2022-06-09,10.176388888888889
2022-06-10,21.24513888888889
2022-06-11,10.607971014492755
2022-06-12,4.775
2022-06-13,4.354861111111111
2022-06-14,9.308333333333334
2022-06-15,7.914583333333334
2022-06-16,7.656944444444444
2022-06-17,15.029166666666665
2022-06-18,8.834722222222222
2022-06-19,5.672916666666667
2022-06-20,5.164583333333334
2022-06-21,10.93611111111111
2022-06-22,10.777777777777779
2022-06-23,14.128813559322035
2022-06-24,10.761111111111111
2022-06-25,12.929861111111112
2022-06-26,6.679861111111111
2022-06-27,5.899305555555555
2022-06-28,13.25
2022-06-29,10.844444444444443
2022-06-30,5.690277777777777
2022-07-01,9.484722222222222
2022-07-02,8.420833333333333
2022-07-03,4.061805555555555
2022-07-04,7.654166666666667
2022-07-05,7.5625
2022-07-06,8.109027777777778
2022-07-07,7.84375
2022-07-08,6.722916666666666
2022-07-09,11.220833333333333
